,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.333,0.321,0.303,0.297,0.274,0.267,0.248,0.226,0.212,0.209,0.228,0.197,0.191,0.182,0.212,0.226,0.222,0.180,0.153,0.140,0.166,0.170,0.171,0.191,0.297,0.186,0.201,0.228
2,0.459,0.415,0.413,0.393,0.388,0.402,0.371,0.348,0.317,0.319,0.325,0.306,0.293,0.296,0.295,0.308,0.319,0.250,0.244,0.229,0.247,0.247,0.257,0.275,0.420,0.290,0.322,0.359
3,0.584,0.528,0.522,0.508,0.511,0.512,0.470,0.447,0.435,0.435,0.434,0.413,0.397,0.401,0.382,0.434,0.407,0.330,0.339,0.321,0.328,0.329,0.351,0.369,0.540,0.418,0.464,0.467
4,0.668,0.645,0.631,0.623,0.622,0.622,0.597,0.578,0.556,0.556,0.548,0.533,0.507,0.494,0.490,0.544,0.511,0.430,0.435,0.415,0.423,0.432,0.450,0.467,0.645,0.525,0.571,0.586
5,0.775,0.744,0.748,0.720,0.744,0.747,0.707,0.694,0.667,0.690,0.657,0.663,0.600,0.651,0.605,0.634,0.618,0.527,0.539,0.413,0.514,0.525,0.540,0.568,0.753,0.626,0.682,0.692
6,0.890,0.854,0.856,0.850,0.861,0.861,0.844,0.803,0.782,0.800,0.766,0.763,0.722,0.752,0.707,0.734,0.715,0.643,0.644,0.618,0.622,0.642,0.669,0.781,0.849,0.729,0.802,0.796
7,0.990,0.959,0.966,0.955,0.953,0.964,0.958,0.918,0.900,0.907,0.881,0.875,0.813,0.866,0.815,0.842,0.828,0.758,0.749,0.777,0.730,0.754,0.789,0.828,0.936,0.861,0.980,0.917
8,1.900,1.070,1.069,1.056,1.085,1.075,1.066,1.033,1.031,1.033,1.003,0.994,0.938,1.008,0.936,0.948,0.964,0.888,0.866,0.900,0.848,0.889,0.944,0.942,1.111,1.014,1.086,1.032
9,1.187,1.171,1.182,1.172,1.197,1.190,1.182,1.170,1.169,1.178,1.124,1.148,1.073,1.132,1.035,1.065,1.075,1.013,0.980,1.004,1.010,1.051,1.081,1.066,1.266,1.186,1.239,1.141
10,1.290,1.282,1.290,1.286,1.299,1.313,1.313,1.288,1.302,1.296,1.265,1.289,1.207,1.279,1.175,1.194,1.189,1.167,1.117,1.133,1.148,1.162,1.202,1.183,1.370,1.317,1.333,1.261
11,1.397,1.395,1.401,1.402,1.426,1.420,1.417,1.406,1.433,1.437,1.393,1.448,1.347,1.464,1.311,1.316,1.310,1.338,1.261,1.184,1.311,1.312,1.323,1.340,1.512,1.461,1.442,1.400
12,1.506,1.533,1.530,1.520,1.544,1.550,1.545,1.552,1.556,1.573,1.530,1.588,1.519,1.593,1.451,1.452,1.436,1.510,1.403,1.472,1.440,1.459,1.468,1.491,1.602,1.603,1.556,1.513
13,1.632,1.638,1.648,1.644,1.683,1.685,1.667,1.685,1.698,1.681,1.667,1.716,1.666,1.711,1.604,1.584,1.610,1.648,1.553,1.589,1.599,1.581,1.610,1.624,1.719,1.732,1.691,1.626
14,1.755,1.758,1.783,1.775,1.824,1.800,1.804,1.812,1.821,1.811,1.807,1.825,1.781,1.852,1.768,1.740,1.771,1.796,1.755,1.765,1.735,1.756,1.721,1.761,1.851,1.863,1.821,1.783
15,1.871,1.882,1.909,1.909,1.939,1.932,1.931,1.930,1.945,1.949,1.941,1.956,1.913,1.995,1.953,1.896,1.917,1.962,1.928,1.941,1.897,1.901,1.867,1.940,1.975,1.982,1.955,1.895
16,2.003,2.022,2.036,2.042,2.082,2.068,2.052,2.060,2.078,2.073,2.069,2.091,2.033,2.106,2.084,2.036,2.050,2.101,2.066,2.082,2.049,2.047,2.037,2.062,2.106,2.122,2.076,2.016
17,2.140,2.163,2.178,2.181,2.194,2.184,2.168,2.194,2.221,2.191,2.191,2.194,2.176,2.217,2.226,2.158,2.184,2.214,2.198,2.208,2.186,2.192,2.199,2.209,2.216,2.231,2.198,2.157
18,2.276,2.309,2.308,2.322,2.333,2.319,2.317,2.325,2.331,2.324,2.330,2.330,2.325,2.334,2.337,2.286,2.303,2.335,2.344,2.340,2.314,2.336,2.338,2.327,2.337,2.344,2.318,2.302
